german,article,plural,english,level,category
Abend,der,Abende,evening,A1,time
Abfahrt,die,Abfahrten,departure,A1,transportation
Abflug,der,Abflüge,departure (flight),A1,transportation
Absender,der,Absender,sender,A1,communication
Adresse,die,Adressen,address,A1,general
Alter,das,Alter,age,A1,general
Angebot,das,Angebote,offer,A1,money
Anfang,der,Anfänge,beginning,A1,time
Ankunft,die,Ankünfte,arrival,A1,transportation
Anmeldung,die,Anmeldungen,registration,A1,general
Anrede,die,Anreden,salutation,A1,communication
Anruf,der,Anrufe,call,A1,communication
Anrufbeantworter,der,Anrufbeantworter,answering machine,A1,communication
Ansage,die,Ansagen,announcement,A1,communication
Anschluss,der,Anschlüsse,connection,A1,transportation
Antwort,die,Antworten,answer,A1,communication
Anzeige,die,Anzeigen,advertisement,A1,communication
Apartment,das,Apartments,apartment,A1,home
Apfel,der,Äpfel,apple,A1,food
Appetit,der,,appetite,A1,food
Arbeit,die,Arbeiten,work,A1,education
Arbeitsplatz,der,Arbeitsplätze,workplace,A1,education
Arm,der,Arme,arm,A1,body
Arzt,der,Ärzte,doctor,A1,health
Aufgabe,die,Aufgaben,task,A1,education
Aufzug,der,Aufzüge,elevator,A1,home
Auge,das,Augen,eye,A1,body
Ausflug,der,Ausflüge,excursion,A1,general
Ausgang,der,Ausgänge,exit,A1,places
Auskunft,die,Auskünfte,information,A1,communication
Ausland,das,,foreign country,A1,places
Ausländer,der,Ausländer,foreigner,A1,people
Aussage,die,Aussagen,statement,A1,communication
Ausweis,der,Ausweise,ID card,A1,general
Auto,das,Autos,car,A1,transportation
Autobahn,die,Autobahnen,highway,A1,transportation
Automat,der,Automaten,vending machine,A1,places
Baby,das,Babys,baby,A1,people
Bäckerei,die,Bäckereien,bakery,A1,places
Bad,das,Bäder,bathroom,A1,home
Bahn,die,Bahnen,train,A1,transportation
Bahnhof,der,Bahnhöfe,train station,A1,places
Bahnsteig,der,Bahnsteige,platform,A1,transportation
Balkon,der,Balkone,balcony,A1,home
Banane,die,Bananen,banana,A1,food
Bank,die,Banken,bank,A1,places
Bank,die,Bänke,bench,A1,furniture
Bauch,der,Bäuche,stomach,A1,body
Baum,der,Bäume,tree,A1,nature
Beamte,der,Beamten,official,A1,people
Bein,das,Beine,leg,A1,body
Beispiel,das,Beispiele,example,A1,general
Bekannte,der,Bekannten,acquaintance,A1,people
Beruf,der,Berufe,profession,A1,education
Bett,das,Betten,bed,A1,furniture
Bier,das,Biere,beer,A1,food
Bild,das,Bilder,picture,A1,general
Birne,die,Birnen,pear,A1,food
Bitte,die,Bitten,request,A1,communication
Bleistift,der,Bleistifte,pencil,A1,education
Blick,der,Blicke,view,A1,general
Blume,die,Blumen,flower,A1,nature
Bogen,der,Bogen,sheet,A1,general
Brief,der,Briefe,letter,A1,communication
Briefmarke,die,Briefmarken,stamp,A1,communication
Brot,das,Brote,bread,A1,food
Brötchen,das,Brötchen,bread roll,A1,food
Bruder,der,Brüder,brother,A1,people
Buch,das,Bücher,book,A1,education
Buchstabe,der,Buchstaben,letter (alphabet),A1,general
Bus,der,Busse,bus,A1,transportation
Butter,die,,butter,A1,food
Café,das,Cafés,café,A1,places
CD,die,CDs,CD,A1,general
Chef,der,Chefs,boss,A1,people
Computer,der,Computer,computer,A1,general
Dame,die,Damen,lady,A1,people
Dank,der,,thanks,A1,communication
Datum,das,Daten,date,A1,time
Disco,die,Discos,disco,A1,places
Doktor,der,Doktoren,doctor,A1,health
Doppelzimmer,das,Doppelzimmer,double room,A1,home
Dorf,das,Dörfer,village,A1,places
Drucker,der,Drucker,printer,A1,general
Durchsage,die,Durchsagen,announcement,A1,communication
Durst,der,,thirst,A1,food
Dusche,die,Duschen,shower,A1,home
Ecke,die,Ecken,corner,A1,general
Ehefrau,die,Ehefrauen,wife,A1,people
Ehemann,der,Ehemänner,husband,A1,people
Ei,das,Eier,egg,A1,food
Eingang,der,Eingänge,entrance,A1,places
Einladung,die,Einladungen,invitation,A1,communication
Eintritt,der,Eintritte,entrance (admission),A1,money
Einzelzimmer,das,Einzelzimmer,single room,A1,home
Eltern,die,,parents,A1,people
E-Mail,die,E-Mails,email,A1,communication
Empfänger,der,Empfänger,recipient,A1,communication
Ende,das,Enden,end,A1,time
Entschuldigung,die,Entschuldigungen,apology,A1,communication
Ergebnis,das,Ergebnisse,result,A1,general
Erwachsene,der,Erwachsenen,adult,A1,people
Essen,das,Essen,food/meal,A1,food
Fahrer,der,Fahrer,driver,A1,people
Fahrkarte,die,Fahrkarten,ticket,A1,transportation
Fahrrad,das,Fahrräder,bicycle,A1,transportation
Familie,die,Familien,family,A1,people
Familienname,der,Familiennamen,surname,A1,people
Familienstand,der,,marital status,A1,people
Farbe,die,Farben,color,A1,colors
Fax,das,Faxe,fax,A1,communication
Fehler,der,Fehler,mistake,A1,general
Feuer,das,Feuer,fire,A1,general
Fieber,das,,fever,A1,health
Film,der,Filme,film,A1,general
Firma,die,Firmen,company,A1,education
Fisch,der,Fische,fish,A1,food
Flasche,die,Flaschen,bottle,A1,general
Fleisch,das,,meat,A1,food
Flughafen,der,Flughäfen,airport,A1,places
Flugzeug,das,Flugzeuge,airplane,A1,transportation
Formular,das,Formulare,form,A1,general
Foto,das,Fotos,photo,A1,general
Frage,die,Fragen,question,A1,communication
Frau,die,Frauen,woman/wife,A1,people
Freizeit,die,,free time,A1,time
Freund,der,Freunde,friend,A1,people
Frühstück,das,,breakfast,A1,food
Führung,die,Führungen,tour/guide,A1,general
Fuß,der,Füße,foot,A1,body
Fußball,der,Fußbälle,soccer,A1,general
Garten,der,Gärten,garden,A1,home
Gast,der,Gäste,guest,A1,people
Geburtsjahr,das,Geburtsjahre,year of birth,A1,time
Geburtsort,der,Geburtsorte,place of birth,A1,places
Geburtstag,der,Geburtstage,birthday,A1,time
Geld,das,,money,A1,money
Gemüse,das,,vegetables,A1,food
Gepäck,das,,luggage,A1,transportation
Geschäft,das,Geschäfte,shop/business,A1,places
Geschenk,das,Geschenke,gift,A1,general
Geschwister,die,,siblings,A1,people
Gespräch,das,Gespräche,conversation,A1,communication
Getränk,das,Getränke,drink,A1,food
Gewicht,das,Gewichte,weight,A1,general
Glas,das,Gläser,glass,A1,general
Gleis,das,Gleise,platform/track,A1,transportation
Glück,das,,luck/happiness,A1,communication
Glückwunsch,der,Glückwünsche,congratulations,A1,communication
Großeltern,die,,grandparents,A1,people
Größe,die,Größen,size,A1,general
Großmutter,die,Großmütter,grandmother,A1,people
Großvater,der,Großväter,grandfather,A1,people
Gruppe,die,Gruppen,group,A1,general
Gruß,der,Grüße,greeting,A1,communication
Haar,das,Haare,hair,A1,body
Hähnchen,das,Hähnchen,chicken,A1,food
Halbpension,die,,half board,A1,food
Halle,die,Hallen,hall,A1,places
Haltestelle,die,Haltestellen,stop,A1,transportation
Hand,die,Hände,hand,A1,body
Handy,das,Handys,mobile phone,A1,communication
Haus,das,Häuser,house,A1,home
Hausaufgabe,die,Hausaufgaben,homework,A1,education
Hausfrau,die,Hausfrauen,housewife,A1,people
Hausmann,der,Hausmänner,househusband,A1,people
Heimat,die,,homeland,A1,places
Herd,der,Herde,stove,A1,furniture
Herr,der,Herren,Mr./gentleman,A1,people
Hilfe,die,Hilfen,help,A1,general
Hobby,das,Hobbys,hobby,A1,general
Hochzeit,die,Hochzeiten,wedding,A1,general
Hotel,das,Hotels,hotel,A1,places
Hund,der,Hunde,dog,A1,animals
Hunger,der,,hunger,A1,food
Information,die,Informationen,information,A1,communication
Internet,das,,internet,A1,communication
Jacke,die,Jacken,jacket,A1,clothing
Job,der,Jobs,job,A1,education
Jugendliche,der,Jugendlichen,young person,A1,people
Junge,der,Jungen,boy,A1,people
Kaffee,der,,coffee,A1,food
Karte,die,Karten,card/map/ticket,A1,general
Kartoffel,die,Kartoffeln,potato,A1,food
Kasse,die,Kassen,cash register,A1,money
Kind,das,Kinder,child,A1,people
